0,1
2,3
2,4
6,7
8,9
10,11
13,14
10,15
16,17
16,18
19,20
21,22
23,24
25,26
31,32
36,37
38,17
39,40
41,42
41,24
18,17
17,38
46,16
49,50
51,52
42,53
13,54
11,10
14,58
27,30
59,60
59,59
18,16
61,62
65,66
67,49
67,67
69,70
61,12
4,2
4,3
58,14
72,61
73,74
77,78
77,79
55,80
17,18
81,57
82,83
56,84
85,85
82,80
87,88
90,70
90,90
91,92
91,93
91,94
91,2
91,91
27,29
24,23
105,81
4,4
107,12
40,1
40,108
40,109
40,106
40,110
40,111
40,112
40,113
40,14
40,114
40,115
40,116
40,117
40,13
40,118
120,121
123,124
125,40
49,127
121,120
126,128
112,40
84,129
13,108
84,96
84,84
15,10
130,38
130,131
41,132
133,133
134,134
135,136
135,137
135,138
139,21
56,140
43,128
22,61
22,12
22,142
22,141
22,143
22,72
22,107
22,21
144,145
146,146
56,147
120,148
149,149
22,22
37,152
148,120
148,153
148,140
148,74
148,73
148,154
148,101
148,11
148,155
148,150
148,56
148,57
148,156
157,15
56,158
159,160
152,37
40,125
40,161
40,39
162,163
149,59
46,18
10,157
149,2
13,166
13,167
13,1
13,78
13,40
13,168
13,106
13,125
13,110
13,169
13,44
13,170
13,111
13,171
13,112
13,172
13,113
13,0
13,114
13,173
13,115
13,174
13,116
13,39
13,175
13,176
13,118
122,177
73,73
73,99
73,58
73,14
178,179
180,21
110,78
106,159
179,178
9,181
17,182
17,8
17,16
17,165
17,183
17,184
39,125
39,161
39,13
154,154
63,185
37,165
61,22
186,52
187,188
29,28
189,40
189,168
189,106
189,170
189,112
189,175
90,190
90,146
90,66
90,133
90,191
90,192
90,193
90,194
90,105
90,195
90,196
90,197
90,198
90,150
90,199
90,120
90,147
90,57
90,79
90,55
90,80
90,200
90,103
52,51
93,93
93,94
33,59
19,201
33,33
202,203
52,204
121,49
188,187
52,56
85,89
20,205
20,157
52,134
52,177
134,52
110,113
25,25
25,208
205,20
205,157
85,162
79,77
136,135
94,93
89,85
81,191
210,20
11,154
211,212
18,46
159,213
159,214
159,49
159,215
159,216
159,217
159,211
159,82
159,218
159,219
159,70
159,220
159,221
159,222
159,223
159,224
159,225
159,32
159,226
159,227
159,228
159,229
159,127
159,230
159,231
159,232
159,233
159,212
159,208
159,50
159,179
159,31
159,67
159,178
159,159
58,166
58,234
58,73
58,235
58,58
58,236
58,121
58,155
58,150
58,102
58,237
58,25
58,80
58,238
36,17
165,37
51,23
19,239
19,240
49,213
49,212
49,179
70,230
4,33
4,151
151,4
104,32
104,178
32,215
2,94
52,128
52,206
2,164
212,211
241,241
212,49
72,107
164,2
164,33
2,2
242,4
242,2
84,56
33,3
28,59
2,242
70,90
76,243
92,92
3,33
212,32
160,160
66,65
244,245
165,165
32,212
94,2
138,15
184,17
184,246
24,41
134,247
248,85
248,163
107,72
7,15
105,193
105,199
249,154
7,250
247,134
251,247
252,253
247,251
17,36
120,76
254,255
85,163
256,126
140,56
80,70
60,59
257,243
257,144
257,79
229,50
244,244
258,203
44,13
247,259
247,260
247,261
59,28
61,56
247,51
247,52
62,61
62,262
62,263
62,264
61,190
179,50
244,265
181,9
127,67
40,78
40,40
15,138
267,268
79,78
39,39
269,269
34,270
39,106
271,56
72,22
78,77
78,79
61,72
17,40
113,272
239,9
131,40
51,247
61,255
144,76
273,21
107,107
264,62
264,141
264,22
264,21
274,148
275,250
32,159
29,164
199,81
65,277
136,15
173,13
228,213
228,214
228,49
228,216
228,211
228,82
228,220
228,223
228,225
228,32
228,227
228,228
228,229
228,160
228,127
228,230
228,232
228,212
228,208
228,50
228,179
228,31
228,67
228,178
228,159
121,25
148,274
279,45
77,156
216,78
216,77
216,192
216,281
216,178
25,121
138,136
178,216
156,77
72,223
61,61
199,79
10,136
155,155
105,105
175,1
2,93
76,144
222,160
222,159
215,215
79,192
241,30
76,47
93,2
73,148
212,212
67,228
154,283
255,72
93,91
255,62
255,263
255,264
72,255
20,240
235,131
66,66
168,106
168,112
160,228
50,49
3,3
85,248
177,285
173,44
286,287
247,68
130,16
188,12
33,4
106,106
170,272
23,260
15,71
77,192
48,99
108,40
49,49
170,106
97,95
97,97
97,98
97,73
97,101
97,102
97,48
97,103
97,99
255,61
255,22
22,255
254,61
254,262
254,263
194,70
194,158
266,257
266,144
266,271
179,49
8,131
288,158
257,266
171,212
3,2
168,40
168,141
168,113
129,147
74,56
214,70
96,84
70,231
121,121
135,290
162,85
96,222
82,82
82,229
82,127
82,212
82,50
147,129
291,20
291,292
291,293
291,294
291,295
291,239
291,240
291,296
291,297
291,19
291,201
291,298
136,138
5,20
122,51
102,194
56,74
299,300
164,29
168,168
51,68
63,5
138,290
15,136
158,194
90,302
15,205
131,125
131,161
131,130
51,204
51,134
51,261
51,177
51,251
51,122
205,290
56,52
10,10
285,229
79,199
56,206
126,56
74,303
304,305
104,203
139,22
179,229
303,74
193,81
229,179
63,256
30,306
30,59
139,62
256,63
4,93
307,308
309,38
212,213
212,127
212,208
212,50
212,67
5,63
257,74
112,106
291,310
46,306
20,20
49,311
134,261
134,251
134,122
134,42
134,284
84,206
20,292
20,19
20,206
312,177
312,24
312,52
50,229
50,179
52,312
67,212
306,46
190,61
266,128
17,306
67,208
67,50
275,63
275,313
275,289
275,290
123,314
24,312
51,259
63,275
